timestamp,power.draw[W],memory.used[MiB],utilization.gpu[%],temperature.gpu[C]
2026/07/14 14:22:39.672, 16.22 W, 2 MiB, 0 %, 45
2026/07/14 14:22:40.676, 16.37 W, 92 MiB, 0 %, 45
2026/07/14 14:22:41.677, 15.97 W, 92 MiB, 0 %, 45
2026/07/14 14:22:42.677, 15.86 W, 92 MiB, 0 %, 45
2026/07/14 14:22:43.677, 15.89 W, 402 MiB, 0 %, 45
2026/07/14 14:22:44.678, 16.60 W, 402 MiB, 0 %, 45
2026/07/14 14:22:45.678, 16.12 W, 402 MiB, 0 %, 45
2026/07/14 14:22:46.679, 15.91 W, 402 MiB, 0 %, 45
2026/07/14 14:22:47.679, 15.90 W, 402 MiB, 0 %, 45
2026/07/14 14:22:48.680, 15.89 W, 402 MiB, 0 %, 45
2026/07/14 14:22:49.680, 15.90 W, 402 MiB, 0 %, 45
2026/07/14 14:22:50.680, 15.92 W, 402 MiB, 0 %, 45
2026/07/14 14:22:51.681, 15.91 W, 402 MiB, 0 %, 45
2026/07/14 14:22:52.681, 15.95 W, 402 MiB, 0 %, 45
2026/07/14 14:22:53.681, 16.09 W, 722 MiB, 0 %, 45
2026/07/14 14:22:54.682, 15.92 W, 1040 MiB, 0 %, 45
2026/07/14 14:22:55.682, 16.15 W, 1050 MiB, 2 %, 45
2026/07/14 14:22:56.682, 16.96 W, 1050 MiB, 4 %, 46
